"L","R","F","M","C"
97.3,7,59,97219,1.075326325
96.87,1,118,139566,0.746258043
68.3,27,49,78417,1.327684941
19.33,4,74,113789,0.91433425
28.07,7,64,139827,0.744006522
80.9,19,47,71121,1.461826465
90,1,46,71012,1.462023883
83.27,7,115,115562,0.8967864
42.53,13,28,72232,1.434513512
45.83,351,12,100421,1.029644795
93.6,8,65,93221,1.107523948
52.33,66,24,183418,0.562442563
68.7,4,50,135574,0.760115583
84.4,5,98,141053,0.728867305
104.33,1,46,73338,1.398998609
58.27,17,61,114031,0.899280547
29.07,84,28,82659,1.238878525
26.83,68,28,73852,1.386176542
17.83,15,17,104641,0.978310605
95.8,1,51,72274,1.416135816
74.23,16,85,104969,0.974864579
99.57,2,128,147767,0.69244581
18.97,14,23,157186,0.650619648
74.57,2,78,121231,0.84343724
63.7,1,67,135439,0.754458243
105.13,1,96,131739,0.775295546
36.43,20,118,143796,0.710068848
20.8,48,86,128754,0.792415925
25.83,5,36,124032,0.82250645
57.8,83,10,99312,1.025894957
91.7,1,34,70486,1.443316261
93.67,2,23,74910,1.357742091
87.17,5,76,138952,0.731532688
51.87,19,45,145724,0.696498655
105,18,111,145458,0.697522309
96.93,25,47,82382,1.230913428
99.4,1,84,75766,1.337146213
109.7,1,134,116627,0.867424696
97.53,3,46,130782,0.771173327
114.57,6,96,135009,0.746628299
39.43,94,16,107690,0.936013465
106.8,11,83,133367,0.755460796
104.37,3,93,109943,0.91579564
33.47,6,13,159016,0.632307692
17.8,2,36,113253,0.886428351
96.47,11,73,123568,0.810458452
26.9,1,98,76759,1.303309449
96.23,3,116,140571,0.710483528
108.7,17,61,81113,1.230116011
45.03,13,85,70965,1.401901923
83.7,10,48,68459,1.453157218
78.57,6,104,137698,0.721752894
95.77,12,57,84129,1.179321043
96.97,9,43,130985,0.757415506
37.67,12,101,117880,0.841051069
78.13,2,69,141164,0.702125684
78.1,5,71,70069,1.413737887
63.67,5,124,118049,0.837548052
77.57,18,86,89195,1.10819519
82.47,12,82,120536,0.818666539
37.33,1,122,137879,0.714470804
22.23,20,18,136876,0.718332944
111.27,22,39,70792,1.387449853
45.63,4,83,112709,0.870657357
83,1,81,99888,0.982403492
67.17,34,66,111545,0.8786453
110.07,41,46,71622,1.365195471
80.13,3,75,131146,0.745084105
111.63,79,69,126180,0.774192107
55.67,10,45,68136,1.432941764
82.1,4,36,66829,1.460493648
113.53,1,106,130691,0.746489276
46.2,19,64,66612,1.464381643
31.4,6,61,132797,0.734098361
19.4,1,67,123556,0.788739195
96.77,30,52,125190,0.778333174
36.87,13,21,138363,0.704172358
30.83,9,100,116315,0.8364076
73.37,1,119,100147,0.971327249
110.67,20,79,74503,1.305487564
55.9,4,101,118160,0.822947613
104.17,5,116,129478,0.750052132
36.23,85,42,74368,1.303695272
109.27,3,82,126149,0.767930622
103.23,11,96,134194,0.72174598
68.03,11,79,124218,0.779597965
97.87,4,133,143216,0.675632052
62.1,15,73,134897,0.717086814
97.5,1,58,122349,0.790434004
67.17,135,19,130168,0.742307172
14.5,1,62,76356,1.265360941
77.53,5,46,67761,1.425841856
34.43,16,38,66550,1.450518407
44.97,23,65,112320,0.858959758
15.97,13,15,99645,0.968166892
46.8,2,93,127824,0.754275019
66.27,6,13,147883,0.651163082
77,4,60,118514,0.811934708
42.77,2,93,117159,0.82114127
28.57,15,83,134851,0.712543548
21.53,16,44,108388,0.886273019
104.2,8,62,112125,0.855358305
41.23,2,89,78410,1.221743017
110.6,2,78,121245,0.789605839
84.67,26,39,70142,1.3639718
55.33,14,101,102834,0.929938153
51.63,17,44,65769,1.452790676
55.93,32,31,69453,1.375394871
57.33,7,75,122158,0.781846052
82.8,18,93,106705,0.894763601
48.67,20,54,71496,1.33526505
103.8,18,73,76834,1.242032954
109.37,2,70,98334,0.969874916
73.63,14,36,102876,0.926531747
75.73,5,45,67936,1.401278409
66.4,14,97,66431,1.432786199
54.1,10,107,132823,0.715139321
73.97,8,123,111589,0.850722921
32.27,29,38,67361,1.408719882
84.6,13,98,129338,0.733567861
80.93,7,33,65345,1.451830132
65.63,6,39,68043,1.393603751
42.93,8,72,73670,1.286411022
42.13,6,83,126476,0.749031121
110.43,4,66,121756,0.777650711
73.17,37,46,120983,0.78231049
114.2,9,65,102504,0.923260068
83.9,5,99,123899,0.763360156
61.63,4,54,64453,1.463962112
85.87,16,65,107397,0.878302187
95.6,243,27,100143,0.941445133
62.8,21,36,72186,1.302530408
31.83,20,61,71752,1.306106868
89.93,32,49,65717,1.425973949
70.47,3,46,71260,1.314534381
74.03,6,103,125149,0.746901054
82.63,73,52,76072,1.228696235
18.73,9,36,68799,1.35804096
57.17,12,37,66530,1.402335037
102.37,14,100,64900,1.4373
79.57,7,51,87589,1.06409081
88.43,12,69,125139,0.742781227
21.43,8,82,109233,0.850807631
17.57,17,13,95577,0.971737343
37.67,25,65,74458,1.246913025
23.73,5,45,74389,1.247410235
86.33,2,118,137477,0.67473221
71.8,11,75,127816,0.725720724
34.87,1,56,117444,0.789488352
85.87,6,73,128233,0.720501275
42.03,17,66,82682,1.116894004
33.43,6,21,139888,0.660121097
69.3,4,78,114244,0.807724519
70.97,2,90,122350,0.753979567
114.47,8,80,120362,0.766244247
25.6,85,20,121103,0.761441087
112.43,31,80,117968,0.781219907
111.97,34,95,104659,0.87833354
90.47,2,99,117708,0.780552044
85.8,17,90,128188,0.716619964
82.17,1,33,63453,1.447113927
107.5,12,73,110537,0.830436144
95.63,18,127,124500,0.737284819
33.4,158,83,114627,0.800316069
27.57,8,27,90731,1.010241814
48.9,1,97,149015,0.614937825
95.33,7,77,104572,0.875997495
52.07,65,19,86805,1.053728357
87.77,41,13,125853,0.72670131
110.03,1,139,129859,0.703798197
106.27,6,86,113677,0.803908618
107.8,2,82,123788,0.737626911
95.2,31,41,91797,0.9943289
53.37,2,72,120888,0.755011912
109.97,11,82,116502,0.782969391
24.57,4,83,66764,1.36549308
100.7,14,92,103985,0.875138818
94.97,25,49,98732,0.920499534
114.23,10,74,126274,0.719323851
46.2,4,78,106195,0.854748717
79.33,9,49,105720,0.858548997
55.5,29,44,69154,1.311839518
86.23,13,26,103395,0.875781421
114.23,2,85,124022,0.729566125
41.27,5,49,62116,1.454720362
104.57,5,69,105755,0.854199991
16.83,8,53,114734,0.787266634
66.63,67,11,134552,0.670909091
97.43,10,55,117957,0.76517731
112.87,14,39,63230,1.427421952
65.7,34,18,124386,0.725114241
60.27,22,63,137264,0.656078433
51.63,181,23,169931,0.529890073
33.17,13,55,103869,0.866817337
24.3,24,36,112436,0.799957309
97.67,8,43,69158,1.299686515
49.7,2,59,78595,1.142706025
24.3,4,69,98267,0.913754872
31,27,77,149556,0.600361671
67.27,21,75,113205,0.793122565
103.7,14,89,98446,0.911670561
35.6,1,51,71594,1.251371344
82.17,65,15,84976,1.053199256
96.1,10,51,121900,0.733716489
107.6,13,63,84110,1.062971704
105.9,3,67,114895,0.77813186
107.13,58,35,102698,0.869739722
56.8,3,31,112940,0.789749247
28.37,4,63,131617,0.677294726
83.97,1,95,112565,0.791891174
100.83,13,97,111809,0.795848724
87.43,9,67,124788,0.712584784
100.6,2,101,119673,0.742826118
49.5,21,60,131743,0.673196678
39.2,38,12,121632,0.728333333
44,3,48,63061,1.404469958
35.87,3,52,62006,1.427972616
55.6,9,11,80261,1.09967805
98.23,2,92,108930,0.810163224
97.5,1,67,116848,0.754195707
89.5,6,47,68720,1.280616269
93.33,46,109,144111,0.61047623
96.9,12,82,135759,0.646682872
95.2,21,68,107075,0.819026757
25.67,16,79,113061,0.775295725
23.4,11,74,119277,0.734588563
95.53,113,31,59830,1.463755474
22.47,8,34,87326,1.001857522
87.73,3,74,126760,0.690051909
20.4,7,7,85624,1.021428571
61.33,93,36,118329,0.739067177
20.93,9,43,71368,1.224596738
51.7,36,106,128750,0.678582369
67.87,3,89,106167,0.82264602
48.83,104,62,89752,0.972563954
53.97,11,36,63184,1.380619144
23.43,12,51,118422,0.73627451
98.93,5,69,119146,0.731558088
112.2,1,84,90564,0.962312287
101,5,68,109665,0.794431222
85.17,3,20,113068,0.769414069
39.1,89,27,106399,0.816711529
78.13,2,64,114718,0.757229554
109.03,7,113,147384,0.589203374
78.5,2,40,60149,1.443029477
99.77,2,80,138420,0.624723523
68.77,41,53,113194,0.76250826
55.73,1,109,123276,0.700098478
45.07,4,70,112890,0.764457525
53.13,9,35,62808,1.37325484
27.97,29,34,65969,1.307116221
63.4,27,88,110192,0.782405619
54.07,10,101,104916,0.821220119
87.17,15,44,123585,0.697107982
83.17,1,57,124821,0.690196361
44.03,11,43,70258,1.225645051
40.63,4,57,101773,0.846069291
78.3,11,82,121881,0.705870234
55.17,23,69,94964,0.903869993
50,44,63,102801,0.833366699
23.53,230,12,84488,1.013213001
42.03,17,69,99590,0.859349031
81.63,4,88,92775,0.922312153
25.27,3,59,133334,0.641461668
97.03,10,40,133403,0.640861525
64.2,86,13,113580,0.752468392
108.4,11,68,119701,0.712072581
40.6,3,69,119959,0.710441151
22.67,4,38,63749,1.335886053
98.13,18,97,95578,0.890442047
109.57,34,13,96745,0.879156546
40.13,3,84,124877,0.680674344
73.23,79,33,60566,1.400179804
79.33,25,61,129994,0.652295875
82.63,17,87,114443,0.740124516
66.5,13,17,105518,0.80243475
99.9,3,62,104351,0.810345085
77.9,2,79,102926,0.820983134
73.03,85,58,94188,0.896582367
76.77,48,26,126699,0.666378424
31.73,2,82,120396,0.700985
90.77,7,94,110837,0.761320588
22.93,15,43,88958,0.947841903
108.6,9,49,82626,1.019422095
80.77,11,32,87009,0.967861715
36.5,4,82,119037,0.706153885
44.43,22,62,101808,0.824876139
22.97,18,67,95683,0.877645872
57.37,30,81,103927,0.807743897
106.3,7,86,105952,0.791347497
85.17,102,6,73392,1.141666667
42.4,69,9,91224,0.917777778
55.43,4,63,102466,0.81701218
114.03,66,38,124410,0.672776465
45.63,2,40,63801,1.311356405
102.8,9,73,120191,0.695825062
86.5,15,71,107032,0.78021629
54.2,1,74,86299,0.967311788
23.67,103,45,83894,0.995006913
71.13,1,127,131400,0.635267428
78.27,4,86,130146,0.641211101
55.77,29,58,114424,0.728744669
34.93,3,69,101139,0.82410712
94.43,43,38,78846,1.056982345
67.73,19,78,115093,0.723989122
100.43,68,16,96627,0.862176721
85.2,163,37,58302,1.428155295
81.9,5,76,116724,0.713011977
63.47,2,44,67601,1.230681203
110.23,3,99,87395,0.951464844
26.93,14,51,61100,1.357835843
67.63,5,66,114482,0.722954875
94,5,77,94084,0.879383317
82.27,2,106,104750,0.78942673
22.7,1,94,130742,0.632198528
34.63,27,89,109773,0.752621956
22.5,37,11,101908,0.810053381
75.7,17,19,114608,0.719314533
35.8,7,57,87522,0.941829369
36.37,18,65,110131,0.747842479
22.27,76,25,58213,1.413954787
102.47,26,51,57992,1.418412885
25.33,19,54,77707,1.057823619
67.33,46,13,118818,0.691331701
24.63,7,72,65267,1.25802427
67.23,2,93,118300,0.693748774
47.07,27,31,60318,1.35912265
89.07,4,78,99566,0.822873672
71.37,4,96,123933,0.661020551
68.3,20,58,99952,0.81945874
22.1,8,85,115207,0.710912445
95.4,5,65,92722,0.883145532
111.5,4,85,124859,0.65577155
39.63,88,14,79047,1.035521272
31.17,2,60,118246,0.691508973
90.03,8,39,60512,1.350910398
36.37,61,36,75213,1.086663476
109.23,46,17,109583,0.745799622
53.73,21,104,93309,0.875784758
96.77,15,50,125199,0.652698823
73.3,12,41,108363,0.753658537
19.7,195,20,77590,1.052316793
79.83,7,68,86064,0.948622421
85.2,2,99,105598,0.77280422
40.67,12,98,120774,0.675360094
113.57,8,89,106510,0.764573373
67.77,71,35,105725,0.768377962
87.97,6,78,105745,0.767752423
49.23,4,75,119758,0.677779021
96.73,15,56,57828,1.402678633
27.27,2,29,81848,0.99101884
28.3,45,55,100558,0.806229241
89.77,18,26,70104,1.156431302
84,5,66,94599,0.856638865
97.53,5,67,112610,0.718858183
44.9,17,65,99061,0.81700528
44.77,9,76,82442,0.981291089
83.63,4,38,58995,1.370945673
37.07,17,51,113913,0.710000088
95.93,3,71,109398,0.738039452
19.43,9,67,64594,1.248345512
113.93,25,61,108008,0.746502852
69.6,3,44,56219,1.434023907
55.1,1,120,101087,0.797076083
42.3,1,101,94342,0.853658074
44.87,8,34,58541,1.375456688
91.67,9,70,116485,0.689642615
59.33,28,34,90814,0.883529412
22.5,35,31,100130,0.801290323
26,62,44,102276,0.784301009
46.43,27,43,60630,1.322550717
51.33,34,62,104969,0.762393469
72.13,26,35,57698,1.386811155
76.53,4,51,92818,0.861574479
24.7,3,59,118571,0.673916894
30.53,6,54,64470,1.238703118
26.93,23,55,84601,0.942580466
28.17,69,34,84892,0.938940654
62.23,2,58,107038,0.744657411
89.7,3,83,95665,0.832975069
100.27,3,39,64329,1.238633431
108.9,18,65,102141,0.779959566
67.43,10,44,83527,0.953680726
90.07,1,64,124573,0.639421062
25.4,67,50,64381,1.237046489
34.87,83,27,55673,1.42926697
111.5,9,40,77198,1.030612192
105.63,2,72,107745,0.738133649
82.6,41,47,57158,1.391171839
101.2,1,70,112030,0.709738017
38.53,113,51,107440,0.739495067
95.57,1,52,98327,0.807594964
21.43,2,57,99434,0.798412817
104.33,2,56,87321,0.908338086
52.3,13,32,60308,1.3146624
99.4,1,65,94255,0.841129807
53.5,30,16,127164,0.623378315
46.83,8,81,110402,0.717648956
73.3,101,44,104867,0.755509741
38.7,11,96,107452,0.737285951
14.27,75,37,77098,1.025352668
37.53,10,63,108377,0.729203429
53,21,81,116556,0.677642764
52.03,13,82,127934,0.617297044
85.73,2,38,62200,1.269493087
98.97,38,25,63767,1.238245644
60.77,70,50,58964,1.338983448
60.9,6,66,95599,0.825197125
68.93,2,75,96092,0.820139033
36.5,12,70,119084,0.661306893
73.63,3,93,67658,1.163014573
81.7,2,97,98027,0.801951809
42.57,20,72,100623,0.780282142
49.23,5,65,105089,0.746562628
103.8,60,45,57094,1.373917224
71.1,10,27,53927,1.453638993
61.87,2,81,99333,0.789152044
37.93,8,74,123708,0.633542051
104.17,2,81,96407,0.812844814
21.8,63,43,87048,0.900012981
43.37,62,13,74307,1.054007025
51.43,2,68,87657,0.893445703
33.53,3,51,105499,0.742125613
56.83,36,65,94928,0.824223306
82.8,12,61,95828,0.816480465
104.43,3,34,54155,1.441951251
104.07,1,106,73656,1.059797165
52,10,68,117406,0.664639116
37.47,5,69,59262,1.315850461
24.13,9,31,54938,1.418710546
48.97,4,85,123956,0.628632821
114.27,9,85,115698,0.673153382
21.43,21,44,122665,0.634257612
110.2,2,82,84793,0.917503332
22.77,20,78,92800,0.837629526
46.67,288,35,98033,0.792854447
41,23,64,113219,0.686384706
48.03,3,49,106738,0.727940377
26.43,143,9,110088,0.705555556
97.03,105,44,128750,0.603258718
78.6,3,86,119842,0.647968909
96,7,45,101385,0.765687133
95.63,30,78,113329,0.684981426
35.37,14,59,108263,0.71581593
80.33,1,98,99128,0.781575034
27.7,12,87,104670,0.739837298
93.73,39,25,118355,0.654261755
38.8,23,48,88016,0.879216392
29.67,13,53,59280,1.304834683
113.77,10,31,82721,0.934580215
88.53,12,61,102513,0.754131281
47.47,2,54,87327,0.885256908
79.97,2,68,83233,0.928783415
49,5,80,110571,0.698741804
82.9,2,70,91869,0.839639269
44.17,2,61,71334,1.081109008
101.63,9,59,96238,0.801115464
25.8,3,71,108053,0.713502263
18.13,67,9,75093,1.026311241
48.5,33,43,63261,1.218127915
86.67,12,65,81718,0.942705034
98.87,1,118,113715,0.677334828
43.97,27,31,57054,1.348767483
38.3,34,13,123460,0.623107079
92.87,11,105,100538,0.764620343
93.7,108,54,97929,0.784982998
56.57,4,39,53274,1.441390547
67.3,2,67,83561,0.918858199
97.33,24,43,93927,0.81727746
75.67,3,78,91540,0.838375901
107.63,1,77,119849,0.640188153
52.47,2,33,60387,1.270434862
86,25,67,107438,0.71315326
65.93,1,34,52371,1.462471215
50.67,82,40,104027,0.735624021
49.73,34,47,57546,1.329559135
93.5,14,49,98276,0.778446009
104.17,3,39,106909,0.71552526
50.43,8,47,102319,0.747021277
66.1,4,72,97247,0.785089206
72.83,113,30,55190,1.382804856
42.03,123,21,54220,1.407333272
72.27,1,62,88473,0.862353147
40.93,3,31,95165,0.801548679
36.67,5,85,115578,0.659933551
